index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
0,1.129E+15,5.011E+15,패션의류,상의,3
1,1.135E+15,5.011E+15,생활/건강,반려동물,3
2,1.135E+15,5.011E+15,패션의류,기타패션의류,9
3,1.1545E+15,5.011E+15,식품,농산물,10
4,1.165E+15,5.011E+15,식품,가공식품,3
5,1.168E+15,5.011E+15,화장품/미용,스킨케어,5
6,1.171E+15,5.011E+15,식품,농산물,5
7,2.623E+15,5.011E+15,패션의류,기타패션의류,5
8,2.626E+15,5.011E+15,식품,가공식품,3
9,2.726E+15,5.011E+15,식품,기타식품,3
10,2.729E+15,5.011E+15,생활/건강,생활용품,3
11,2.811E+15,5.011E+15,식품,건강식품,5
12,2.82E+15,5.011E+15,생활/건강,주방용품,5
13,2.914E+15,5.011E+15,식품,가공식품,3
14,3.023E+15,5.011E+15,생활/건강,건강용품,3
15,3.023E+15,5.011E+15,식품,냉동/간편조리식품,3
16,3.023E+15,5.013E+15,식품,냉동/간편조리식품,4
17,4.1113E+15,5.011E+15,생활/건강,건강용품,7
18,4.1199E+15,5.011E+15,식품,건강식품,3
19,4.1199E+15,5.011E+15,식품,건강식품,4
20,4.1199E+15,5.013E+15,식품,건강식품,3
21,4.121E+15,5.011E+15,생활/건강,문구/사무용품,3
22,4.121E+15,5.011E+15,생활/건강,문구/사무용품,4
23,4.122E+15,5.011E+15,식품,축산,4
24,4.1273E+15,5.013E+15,패션의류,상의,5
25,4.1285E+15,5.011E+15,생활/건강,주방용품,10
26,4.136E+15,5.011E+15,식품,기타식품,3
27,4.136E+15,5.011E+15,식품,농산물,3
28,4.136E+15,5.011E+15,생활/건강,반려동물,3
29,4.136E+15,5.011E+15,생활/건강,반려동물,3
30,4.136E+15,5.011E+15,생활/건강,반려동물,3
31,4.141E+15,5.011E+15,식품,가공식품,17
32,4.141E+15,5.011E+15,생활/건강,건강용품,42
33,4.141E+15,5.011E+15,식품,가공식품,31
34,4.141E+15,5.011E+15,화장품/미용,스킨케어,5
35,4.1461E+15,5.011E+15,생활/건강,문구/사무용품,10
36,4.1461E+15,5.013E+15,식품,냉동/간편조리식품,4
37,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
38,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,4
39,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,6
40,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
41,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,4
42,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
43,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
44,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
45,4.148E+15,5.013E+15,여행/문화,문화컨텐츠,3
46,4.148E+15,5.013E+15,여행/문화,문화컨텐츠,3
47,4.148E+15,5.013E+15,여행/문화,문화컨텐츠,5
48,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
49,4.148E+15,5.011E+15,여행/문화,문화컨텐츠,3
50,4.148E+15,5.013E+15,생활/건강,음반,4
51,4.148E+15,5.013E+15,생활/건강,음반,4
52,4.15E+15,5.011E+15,식품,음료,3
53,4.15E+15,5.013E+15,생활/건강,반려동물,3
54,4.15E+15,5.011E+15,식품,건강식품,3
55,4.15E+15,5.011E+15,식품,건강식품,3
56,4.15E+15,5.011E+15,식품,건강식품,3
57,4.157E+15,5.011E+15,식품,농산물,10
58,4.157E+15,5.011E+15,생활/건강,주방용품,3
59,4.157E+15,5.011E+15,식품,가공식품,4
60,4.157E+15,5.011E+15,식품,가공식품,4
61,4.159E+15,5.011E+15,식품,건강식품,4
62,4.159E+15,5.011E+15,식품,냉동/간편조리식품,3
63,4.159E+15,5.011E+15,식품,음료,6
64,4.159E+15,5.013E+15,식품,건강식품,3
65,4.159E+15,5.013E+15,생활/건강,반려동물,4
66,4.161E+15,5.011E+15,식품,건강식품,17
67,4.161E+15,5.011E+15,생활/건강,건강용품,130
68,4.163E+15,5.011E+15,식품,기타식품,3
69,4.165E+15,5.013E+15,식품,기타식품,5
70,4.165E+15,5.011E+15,생활/건강,생활용품,3
71,4.213E+15,5.011E+15,식품,냉동/간편조리식품,3
72,4.282E+15,5.011E+15,식품,음료,5
73,4.3111E+15,5.011E+15,식품,음료,6
74,4.313E+15,5.011E+15,생활/건강,반려동물,3
75,4.377E+15,5.011E+15,여행/문화,문화컨텐츠,5
76,4.427E+15,5.011E+15,식품,건강식품,3
77,4.427E+15,5.011E+15,식품,건강식품,3
78,4.514E+15,5.011E+15,식품,수산,14
79,4.688E+15,5.011E+15,생활/건강,건강용품,35
80,4.8125E+15,5.011E+15,식품,과자,6
